stage,label,val_rmse,test_rmse,normal_mae,fps
D1 UNet,256_nearest_no_aug_lr1e-3_bs8,0.0889063464826621,0.0660267171483232,1.1281089635337247,179.66345286706556
D2 DeiT,deit_p8_bilinear_full_finetune_lr1e-4_bs4,0.0734669749923368,0.053720297671388,1.0152977444613658,61.51556728934143
D3 losses,d3_full_deit_p8_bs4_lr1e_4,0.0694567040879456,0.0494175137224569,1.279843844286241,61.23440869144261
