label,status,val_rmse,test_rmse,normal_mae,fps,params,trainable_params,gpu_mb,img_size,decoder,patch_size,transfer,pretrained,lr,batch_size,checkpoint,history_path,result_path
deit_p16_bilinear_full_finetune_lr1e-4_bs4,ok,0.0771874791095158,0.05782390047335186,1.1651087305889056,61.35090702378812,22943489,22943489,423.81298828125,256,bilinear,16,full_finetune,True,0.0001,4,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d2_deit\checkpoints\model_deit_p16_bilinear_full_finetune_lr1e_4_bs4.pth,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d2_deit\histories\hist_deit_p16_bilinear_full_finetune_lr1e_4_bs4.pkl,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d2_deit\metrics\result_deit_p16_bilinear_full_finetune_lr1e_4_bs4.json
deit_p16_fpn_full_finetune_lr1e-4_bs4,ok,0.0903705379831515,0.06914170286023537,1.2879851884668185,93.44577297020079,21959809,21959809,290.4111328125,256,fpn,16,full_finetune,True,0.0001,4,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d2_deit\checkpoints\model_deit_p16_fpn_full_finetune_lr1e_4_bs4.pth,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d2_deit\histories\hist_deit_p16_fpn_full_finetune_lr1e_4_bs4.pkl,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d2_deit\metrics\result_deit_p16_fpn_full_finetune_lr1e_4_bs4.json
deit_p8_bilinear_full_finetune_lr1e-4_bs4,ok,0.0734669749923368,0.05372029767138801,1.0152977444613658,61.51556728934143,23017217,23017217,425.5302734375,256,bilinear,8,full_finetune,True,0.0001,4,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d2_deit\checkpoints\model_deit_p8_bilinear_full_finetune_lr1e_4_bs4.pth,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d2_deit\histories\hist_deit_p8_bilinear_full_finetune_lr1e_4_bs4.pkl,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d2_deit\metrics\result_deit_p8_bilinear_full_finetune_lr1e_4_bs4.json
deit_p8_bilinear_frozen_backbone_lr1e-4_bs4,ok,0.09495941718788443,0.07220889710820223,1.5894680285479097,61.08108693914041,23017217,1254785,336.3720703125,256,bilinear,8,frozen_backbone,True,0.0001,4,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d2_deit\checkpoints\model_deit_p8_bilinear_frozen_backbone_lr1e_4_bs4.pth,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d2_deit\histories\hist_deit_p8_bilinear_frozen_backbone_lr1e_4_bs4.pkl,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d2_deit\metrics\result_deit_p8_bilinear_frozen_backbone_lr1e_4_bs4.json
