model,val_rmse,test_rmse,normal_mae,fps,params_m,gpu_mb
UNet CNN baseline,0.0889063464826621,0.0660267171483232,1.1281089635337247,179.66345286706556,31.037633,352.50146484375
deit_p8_bilinear_full_finetune_lr1e-4_bs4,0.0734669749923368,0.05372029767138801,1.0152977444613658,61.51556728934143,23.017217,425.5302734375
