label,regime,status,val_rmse,test_rmse,normal_mae,joint_l1_px,fps,params,gpu_mb,patch_size,batch_size,lr,loss_weights,checkpoint,history_path,result_path
d3_full_deit_p8_bs4_lr1e_4,full,ok,0.06945670408794563,0.04941751372245699,1.279843844286241,162.6684368364289,61.23440869144261,23018127,430.4873046875,8,4,0.0001,"{'depth_l1': 1.0, 'normal': 0.0, 'rank': 0.0, 'scale_inv': 0.0, 'joint_l1': 0.0}",C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d3_losses\checkpoints\model_d3_full_deit_p8_bs4_lr1e_4.pth,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d3_losses\histories\hist_d3_full_deit_p8_bs4_lr1e_4.pkl,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d3_losses\metrics\result_d3_full_deit_p8_bs4_lr1e_4.json
d3_weak_deit_p8_bs4_lr1e_4,weak,ok,0.09929586499112678,0.1067604243565584,1.1963063507565854,171.8872508294261,61.56236295001292,23018127,432.5048828125,8,4,0.0001,"{'depth_l1': 0.0, 'normal': 1.0, 'rank': 1.0, 'scale_inv': 0.0, 'joint_l1': 0.0}",C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d3_losses\checkpoints\model_d3_weak_deit_p8_bs4_lr1e_4.pth,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d3_losses\histories\hist_d3_weak_deit_p8_bs4_lr1e_4.pkl,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d3_losses\metrics\result_d3_weak_deit_p8_bs4_lr1e_4.json
d3_geom_deit_p8_bs4_lr1e_4,geom,ok,0.07233559004690195,0.05354910971004507,1.2993016856948858,65.54215181679282,61.929121237470014,23018127,431.025390625,8,4,0.0001,"{'depth_l1': 1.0, 'normal': 0.0, 'rank': 0.0, 'scale_inv': 0.5, 'joint_l1': 1.0}",C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d3_losses\checkpoints\model_d3_geom_deit_p8_bs4_lr1e_4.pth,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d3_losses\histories\hist_d3_geom_deit_p8_bs4_lr1e_4.pkl,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d3_losses\metrics\result_d3_geom_deit_p8_bs4_lr1e_4.json
d3_combined_deit_p8_bs4_lr1e_4,combined,ok,0.07137101176949207,0.05615893979551917,1.302702197768809,66.82435355542361,61.81100324926304,23018127,430.599609375,8,4,0.0001,"{'depth_l1': 1.0, 'normal': 0.5, 'rank': 0.2, 'scale_inv': 0.5, 'joint_l1': 1.0}",C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d3_losses\checkpoints\model_d3_combined_deit_p8_bs4_lr1e_4.pth,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d3_losses\histories\hist_d3_combined_deit_p8_bs4_lr1e_4.pkl,C:\Users\Daniel Hess\Documents\Master\OR\Pose_Estimation\runs\d3_losses\metrics\result_d3_combined_deit_p8_bs4_lr1e_4.json
