regime,smooth_error,textured_error,edge_error,interior_error
combined,0.023401391017250715,0.04248200226575136,0.04756194958463311,0.029181298892945053
full,0.02226315732114017,0.03824005746282637,0.04330610586330295,0.026020233146846296
geom,0.024033094057813287,0.042927398532629016,0.045155904814600946,0.03096039458177984
weak,0.08824618551880122,0.09733468536287546,0.10802931934595109,0.0837419418618083
