regime,fps,params,gpu_mb
full,61.23440869144261,23018127,430.4873046875
combined,61.81100324926304,23018127,430.599609375
geom,61.929121237470014,23018127,431.025390625
weak,61.56236295001292,23018127,432.5048828125
